Dimension,Execution Time
702.000000,15.561089
703.000000,15.628780
704.000000,15.658700
705.000000,15.743809
706.000000,15.774899
707.000000,15.814588
708.000000,15.891309
709.000000,15.960858
710.000000,15.990039
711.000000,16.136787
712.000000,16.139538
713.000000,16.301698
714.000000,16.288677
715.000000,16.369028
716.000000,16.414088
717.000000,16.447147
718.000000,16.537738
719.000000,16.593977
720.000000,16.631387
721.000000,16.712756
722.000000,16.853896
723.000000,16.918266
724.000000,16.903786
725.000000,17.041556
726.000000,16.979015
727.000000,17.121746
728.000000,17.241315
729.000000,17.246615
730.000000,17.371415
731.000000,17.455604
732.000000,17.487635
733.000000,17.570105
734.000000,17.613184
735.000000,17.653484
736.000000,17.750304
737.000000,17.801844
738.000000,17.867293
739.000000,17.961333
740.000000,17.966633
741.000000,18.171603
742.000000,18.088843
743.000000,18.240272
744.000000,18.296782
745.000000,18.393892
746.000000,18.470372
747.000000,18.480282
748.000000,18.547282
749.000000,18.646712
750.000000,18.651442
751.000000,18.726192
752.000000,18.902921
753.000000,18.887171
754.000000,18.977311
755.000000,19.186720
756.000000,19.160910
757.000000,19.181201
758.000000,19.232830
759.000000,19.338760
760.000000,19.414289
761.000000,19.453119
762.000000,19.537319
763.000000,19.588039
764.000000,19.678849
765.000000,19.772368
766.000000,19.880688
767.000000,19.940658
768.000000,19.997178
769.000000,20.096378
770.000000,20.178368
771.000000,20.221388
772.000000,20.236287
773.000000,20.369027
774.000000,20.440077
775.000000,20.512326
776.000000,20.665066
777.000000,20.591667
778.000000,20.722606
779.000000,20.840416
780.000000,20.916185
781.000000,20.942645
782.000000,21.279214
783.000000,21.100005
784.000000,21.144035
785.000000,21.213584
786.000000,21.294454
787.000000,21.421855
788.000000,21.435794
789.000000,21.588283
790.000000,21.638294
791.000000,21.727713
792.000000,21.859233
793.000000,21.840953
794.000000,21.920572
795.000000,21.969032
796.000000,22.137652
797.000000,22.157442
798.000000,22.264422
799.000000,22.371152
800.000000,22.414661
801.000000,22.447702
802.000000,22.540922
803.000000,22.611641
804.000000,22.757321
805.000000,22.826031
806.000000,22.814241
807.000000,22.923470
808.000000,23.022260
809.000000,23.082980
810.000000,23.289379
811.000000,23.255160
812.000000,23.344409
813.000000,23.453409
814.000000,23.956708
815.000000,23.494399
